高級つぶあん,6,幅広い年齢層から愛されるヤマザキの自信作。2021年の10月から輸入小麦の政府売渡価格が19%と大幅に引き上げられたことで、小麦粉の値上げが実施。また、油脂類、糖類、包装資材などの原材料価格が高騰し、電気ガスといったエネルギーコストも上昇のため菓子パンを平均6.8%の値上げ。2022年1月1日出荷分から値段が改定する。値段を98円とし、98円の6.8%値上げした金額を値上げ後の金額として設定。,food103.jpeg,https://www.yamazakipan.co.jp/product/02/tsubuan.html,2
キャノーラ油,40,昭和産業のキャノーラ油はくせのない淡白な風味で、いろいろな料理に幅広く使うことができる。カナダ産菜種の大幅な減産の確定、原油相場の影響により菜種先物相場は上昇。円安の進行もあり、さらに油脂コストは上昇。2022年3月1日納入分より家庭用食用油は1kgあたり40円以上値上げする。,food201.jpeg,https://www.showa-sangyo.co.jp/home/oil/product02.html,3
日清サラダ油,40,熱安定性の良いなたね油と大豆油をブレンド。世界的なバイオ燃料需要の増加や東南アジアの労働力不足によるパーム油需要の逼迫など、製油業のコスト環境は極めて厳しい状況が続いている。そのため2022年4月1日から全ての商品で1キロあたり40円の値上げ。また、大豆、菜種を主原料とする食品油以外は同年7月1日より5〜30%の値上げ。,food202.jpeg,https://www.nisshin-oillio.com/products/goods/detail.html?id=307&category=15,3
マルハニチロの冷凍食品,16,世界的な食糧需要の増加を背景に原材料価格が上昇している。また、原油価格の高騰により、包材費や燃料費もコストが上がっている。そのため家庭用冷凍食品の一部について2022年2月1日納品分より価格改定を実施。調理品は約2〜10%、農産品は約5〜23%値上げする。写真は調理品の牛カルビマヨネーズ。値段を168円とし、168円の10%値上げした金額を値上げ後の金額として設定。,food301.jpeg,https://www.maruha-nichiro.co.jp/products/product?j=4902165625196,4
ボンカレーシリーズ,10,レトルト食品のパイオニアであるボンカレー。原材料価格の高騰や物流コストの上昇を受け、2022年4月1日納入分からボンカレーシリーズの一部製品の希望小売価格を改定。,food302.jpeg,https://www.otsukafoods.co.jp/product/boncurrygold/chukara.html,4
銀座カリー,20,レトルトなのにコクが深い銀座カリー。世界的な需要拡大の影響や生産地の天候不順などの影響により原材料の価格は上昇。また、原油価格高騰の影響による物流費コストや包装材価格の上昇に加え、エネルギーコストなどの諸経費も高止まりの状態が続く。これらのことから2022年5月1日出荷分より7.7%の値上げ。,food303.jpeg,https://www.meiji.co.jp/products/curry_soup/2635601.html,4
シャウエッセン,60,パリッとした食感を楽しむことができるシャウエッセン。ソーセージや加工食品の主原料や小麦粉・食用油等の副資材、エネルギーコストや物流費などの諸経費と幅広くコストが増加した。そのため、2022年2月1日より家庭向け食品、冷凍食品を5%〜12%の値上げ。値段については127g2袋入りのものが12%値上げしたことを想定。,food401.jpeg,https://www.nipponham.co.jp/products/ham_sausages/sausages/win/2125/,5
グランドアルトバイエルン,60,72時間以上じっくり熟成することで肉の旨味を十分に生き出したウインナー。調理加工品の原料や補助原材料の価格が高騰。さらに、資材品費用、物流費、労務費などの経費も上昇。結果、2022年3月1日納品分よりハム・ソーセージは4〜12%値上げする。値段については127g2袋入りのものが12%値上げしたことを想定。,food402.jpeg,https://www.itoham.co.jp/product/product/detail.html?pdid=48,5
キッコーマンいつでも新鮮しぼりたて生醤油,29,通常の醤油とは異なり、加熱処理をしていないしぼりたて生醤油。原材料価格や物流費等が上昇したため、2022年2月16日お届け分より約4〜10%の値上げ。450mlの醤油が10%値上げした金額を値上げ後の金額として設定。,food501.jpeg,https://www.kikkoman.co.jp/products/product/K050300/index.html,6
キューピーマヨネーズ,33,キューピーの看板商品の1つであるキューピーマヨネーズ。菜種の主産地であるカナダでの減産に加え、バイオ燃料需要の増加などを背景に大豆需給の改善も見られず食油価格は高騰している。また、物流費や労務費などのコスト上昇もあり、2022年3月1日出荷分から33円値上げする。,food502.jpeg,https://www.kewpie.co.jp/products/product/mayonnaise/mayonnaise/4901577042072/,6
雪印コーヒー,6,大人から子供まで楽しめるコーヒー乳飲料。雪印コーヒーは2022年に発売60年目を迎え、これを記念しリニューアル。リニューアルのポイントは、風味の特徴であるほろ苦いコーヒーとミルク感をアップしたところ。また、原材料や資材のコストアップにより、2022年3月15日のリニューアルに伴い6円値上げ。,food601.jpeg,https://www.meg-snow.com/products/detail.php?p=yuki-coffee,7
明治北海道十勝スライスチーズ,20,濃厚なうまみとクリーミーな口どけを楽しむことができるチーズ。世界的な需要拡大の影響や生産地の天候不順などの影響により、原材料の価格は上昇。また、物流費コストは上昇し、諸経費は高止まりの状態が続いていることから家庭用チーズは2022年4月1日出荷分より5.4〜6.7%値上げする。,food602.jpeg,https://www.meiji.co.jp/products/cheese/4902705109117.html,7
ネスカフェエクセラ40g,35,牛乳にもサッと溶けて香るネスカフェエクセラ。コーヒー生豆の国際相場は、世界的なコーヒーの需要の増加と、世界最大の生産・輸出国であるブラジルでの降雨不足により2020年末から上昇が続いている。加えて、ブラジルの霜害の影響もあり2021年後半から急激に上昇。さらに、為替も急速に円安が進んだため2022年1月1日より35円の値上げ。,food701.jpeg,https://d.nestle.jp/soluble-coffee/,8
コカ・コーラ,27,世界的に愛されている飲み物コカ・コーラ。原材料の高騰や物流費によるコスト増加により、2022年5月1日出荷分から大型PETボトル製品が約5〜8%の値上げ。340円の8%値上げした金額を値上げ後の金額として設定。,food702.jpeg,https://www.cocacola.co.jp/brands/coca-cola,8
ポン・デ・リング,10,もちもちとした食感が人気のポン・デ・リング。商品の主原料である小麦粉や食用油等の原材料が高騰しており、食材の調達コストや諸経費も上昇。そのため、2022年3月1日よりポン・デ・リングは10円値上げ。,food801.jpeg,https://www.misterdonut.jp/m_menu/donut/dpd01.html,9
たまごサンド,18,たまごのコクが広がるたまごサンド。小麦や食用油などの原材料価格の高騰、包材や輸入コストなどの上昇と世界情勢の急激な変化により、2022年3月8日よりたまごサンドは18円値上げ。,food802.jpeg,https://www.lawson.co.jp/recommend/original/detail/1449150_1996.html,9
クリネックス長持ち8ロール(シングル),49,トイレットペーパーの芯に消臭成分がついているクリネックス。世界的な原燃料価格の高騰、物流費や人手不足による人件費の増加により、2022年4月1日出荷分より現行価格の10%以上値上げする。495円の10%値上げした金額を値上げ後の金額として設定。,dailynecessities901.jpeg,https://www.crecia.co.jp/products/category/toilet/,10
キャンパスノートA罫,10,書きやすさ、使いやすさでロングセラーとなっているキャンパスノート。鋼材の価格が急激に高騰したためステーショナリー製品にも影響を及ぼしている。そのため、2022年1月1日より平均8%の値上げ。,dailynecessities902.jpeg,https://www.kokuyo-st.co.jp/stationery/campus_standard/,10
